sep=;
Time;Usage;Limit;Request
2016-12-08T14:25:00.000Z;null;null;null
2016-12-08T14:25:10.000Z;null;null;null
2016-12-08T14:25:20.000Z;null;null;null
2016-12-08T14:25:30.000Z;null;null;null
2016-12-08T14:25:40.000Z;null;null;null
2016-12-08T14:25:50.000Z;null;null;null
2016-12-08T14:26:00.000Z;null;null;null
2016-12-08T14:26:10.000Z;null;null;null
2016-12-08T14:26:20.000Z;null;null;null
2016-12-08T14:26:30.000Z;null;null;null
2016-12-08T14:26:40.000Z;null;null;null
2016-12-08T14:26:50.000Z;null;null;null
2016-12-08T14:27:00.000Z;null;248;568
2016-12-08T14:27:10.000Z;null;null;null
2016-12-08T14:27:20.000Z;null;null;null
2016-12-08T14:27:30.000Z;null;null;null
2016-12-08T14:27:40.000Z;null;null;null
2016-12-08T14:27:50.000Z;null;null;null
2016-12-08T14:28:00.000Z;57;248;668
2016-12-08T14:28:10.000Z;null;null;null
2016-12-08T14:28:20.000Z;null;null;null
2016-12-08T14:28:30.000Z;null;null;null
2016-12-08T14:28:40.000Z;null;null;null
2016-12-08T14:28:50.000Z;null;null;null
2016-12-08T14:29:00.000Z;120;248;668
2016-12-08T14:29:10.000Z;null;null;null
2016-12-08T14:29:20.000Z;null;null;null
2016-12-08T14:29:30.000Z;null;null;null
2016-12-08T14:29:40.000Z;null;null;null
2016-12-08T14:29:50.000Z;null;null;null
2016-12-08T14:30:00.000Z;412;248;668
2016-12-08T14:30:10.000Z;null;null;null
2016-12-08T14:30:20.000Z;null;null;null
2016-12-08T14:30:30.000Z;null;null;null
2016-12-08T14:30:40.000Z;null;null;null
2016-12-08T14:30:50.000Z;null;null;null
2016-12-08T14:31:00.000Z;130;248;668
2016-12-08T14:31:10.000Z;null;null;null
2016-12-08T14:31:20.000Z;null;null;null
2016-12-08T14:31:30.000Z;null;null;null
2016-12-08T14:31:40.000Z;null;null;null
2016-12-08T14:31:50.000Z;null;null;null
2016-12-08T14:32:00.000Z;129;248;668
2016-12-08T14:32:10.000Z;null;null;null
2016-12-08T14:32:20.000Z;null;null;null
2016-12-08T14:32:30.000Z;null;null;null
2016-12-08T14:32:40.000Z;null;null;null
2016-12-08T14:32:50.000Z;null;null;null
2016-12-08T14:33:00.000Z;266;248;668
2016-12-08T14:33:10.000Z;null;null;null
2016-12-08T14:33:20.000Z;null;null;null
2016-12-08T14:33:30.000Z;null;null;null
2016-12-08T14:33:40.000Z;null;null;null
2016-12-08T14:33:50.000Z;null;null;null
2016-12-08T14:34:00.000Z;1038;248;668
2016-12-08T14:34:10.000Z;null;null;null
2016-12-08T14:34:20.000Z;null;null;null
2016-12-08T14:34:30.000Z;null;null;null
2016-12-08T14:34:40.000Z;null;null;null
2016-12-08T14:34:50.000Z;null;null;null
2016-12-08T14:35:00.000Z;922;248;668
2016-12-08T14:35:10.000Z;null;null;null
2016-12-08T14:35:20.000Z;null;null;null
2016-12-08T14:35:30.000Z;null;null;null
2016-12-08T14:35:40.000Z;null;null;null
2016-12-08T14:35:50.000Z;null;null;null
2016-12-08T14:36:00.000Z;129;248;668
2016-12-08T14:36:10.000Z;null;null;null
2016-12-08T14:36:20.000Z;null;null;null
2016-12-08T14:36:30.000Z;null;null;null
2016-12-08T14:36:40.000Z;null;null;null
2016-12-08T14:36:50.000Z;null;null;null
2016-12-08T14:37:00.000Z;531;248;668
2016-12-08T14:37:10.000Z;null;null;null
2016-12-08T14:37:20.000Z;null;null;null
2016-12-08T14:37:30.000Z;null;null;null
2016-12-08T14:37:40.000Z;null;null;null
2016-12-08T14:37:50.000Z;null;null;null
2016-12-08T14:38:00.000Z;580;248;668
2016-12-08T14:38:10.000Z;null;null;null
2016-12-08T14:38:20.000Z;null;null;null
2016-12-08T14:38:30.000Z;null;null;null
2016-12-08T14:38:40.000Z;null;null;null
2016-12-08T14:38:50.000Z;null;null;null
2016-12-08T14:39:00.000Z;619;248;668
2016-12-08T14:39:10.000Z;null;null;null
2016-12-08T14:39:20.000Z;null;null;null
2016-12-08T14:39:30.000Z;null;null;null
2016-12-08T14:39:40.000Z;null;null;null
2016-12-08T14:39:50.000Z;null;null;null
2016-12-08T14:40:00.000Z;260;248;668
2016-12-08T14:40:10.000Z;null;null;null
2016-12-08T14:40:20.000Z;null;null;null
2016-12-08T14:40:30.000Z;null;null;null
2016-12-08T14:40:40.000Z;null;null;null
2016-12-08T14:40:50.000Z;null;null;null
2016-12-08T14:41:00.000Z;126;248;668
2016-12-08T14:41:10.000Z;null;null;null
2016-12-08T14:41:20.000Z;null;null;null
2016-12-08T14:41:30.000Z;null;null;null
2016-12-08T14:41:40.000Z;null;null;null
2016-12-08T14:41:50.000Z;null;null;null
2016-12-08T14:42:00.000Z;131;248;668
2016-12-08T14:42:10.000Z;null;null;null
2016-12-08T14:42:20.000Z;null;null;null
2016-12-08T14:42:30.000Z;null;null;null
2016-12-08T14:42:40.000Z;null;null;null
2016-12-08T14:42:50.000Z;null;null;null
2016-12-08T14:43:00.000Z;130;248;668
2016-12-08T14:43:10.000Z;null;null;null
2016-12-08T14:43:20.000Z;null;null;null
2016-12-08T14:43:30.000Z;null;null;null
2016-12-08T14:43:40.000Z;null;null;null
2016-12-08T14:43:50.000Z;null;null;null
2016-12-08T14:44:00.000Z;130;248;668
2016-12-08T14:44:10.000Z;null;null;null
2016-12-08T14:44:20.000Z;null;null;null
2016-12-08T14:44:30.000Z;null;null;null
2016-12-08T14:44:40.000Z;null;null;null
2016-12-08T14:44:50.000Z;null;null;null
2016-12-08T14:45:00.000Z;124;248;768
2016-12-08T14:45:10.000Z;null;null;null
2016-12-08T14:45:20.000Z;null;null;null
2016-12-08T14:45:30.000Z;null;null;null
2016-12-08T14:45:40.000Z;null;null;null
2016-12-08T14:45:50.000Z;null;null;null
2016-12-08T14:46:00.000Z;153;248;768
2016-12-08T14:46:10.000Z;null;null;null
2016-12-08T14:46:20.000Z;null;null;null
2016-12-08T14:46:30.000Z;null;null;null
2016-12-08T14:46:40.000Z;null;null;null
2016-12-08T14:46:50.000Z;null;null;null
2016-12-08T14:47:00.000Z;168;248;768
2016-12-08T14:47:10.000Z;null;null;null
2016-12-08T14:47:20.000Z;null;null;null
