sep=;
Time;Tx;Rx
2016-12-08T14:25:00.000Z;null;null
2016-12-08T14:25:10.000Z;null;null
2016-12-08T14:25:20.000Z;null;null
2016-12-08T14:25:30.000Z;null;null
2016-12-08T14:25:40.000Z;null;null
2016-12-08T14:25:50.000Z;null;null
2016-12-08T14:26:00.000Z;null;null
2016-12-08T14:26:10.000Z;null;null
2016-12-08T14:26:20.000Z;null;null
2016-12-08T14:26:30.000Z;null;null
2016-12-08T14:26:40.000Z;null;null
2016-12-08T14:26:50.000Z;null;null
2016-12-08T14:27:00.000Z;null;null
2016-12-08T14:27:10.000Z;null;null
2016-12-08T14:27:20.000Z;null;null
2016-12-08T14:27:30.000Z;null;null
2016-12-08T14:27:40.000Z;null;null
2016-12-08T14:27:50.000Z;null;null
2016-12-08T14:28:00.000Z;28229.720703125;4550.64794921875
2016-12-08T14:28:10.000Z;null;null
2016-12-08T14:28:20.000Z;null;null
2016-12-08T14:28:30.000Z;null;null
2016-12-08T14:28:40.000Z;null;null
2016-12-08T14:28:50.000Z;null;null
2016-12-08T14:29:00.000Z;32448.605224609375;14745.537109375
2016-12-08T14:29:10.000Z;null;null
2016-12-08T14:29:20.000Z;null;null
2016-12-08T14:29:30.000Z;null;null
2016-12-08T14:29:40.000Z;null;null
2016-12-08T14:29:50.000Z;null;null
2016-12-08T14:30:00.000Z;33678.033935546875;11175.9150390625
2016-12-08T14:30:10.000Z;null;null
2016-12-08T14:30:20.000Z;null;null
2016-12-08T14:30:30.000Z;null;null
2016-12-08T14:30:40.000Z;null;null
2016-12-08T14:30:50.000Z;null;null
2016-12-08T14:31:00.000Z;36171.864501953125;14383.7841796875
2016-12-08T14:31:10.000Z;null;null
2016-12-08T14:31:20.000Z;null;null
2016-12-08T14:31:30.000Z;null;null
2016-12-08T14:31:40.000Z;null;null
2016-12-08T14:31:50.000Z;null;null
2016-12-08T14:32:00.000Z;39279.51611328125;15829.591064453125
2016-12-08T14:32:10.000Z;null;null
2016-12-08T14:32:20.000Z;null;null
2016-12-08T14:32:30.000Z;null;null
2016-12-08T14:32:40.000Z;null;null
2016-12-08T14:32:50.000Z;null;null
2016-12-08T14:33:00.000Z;34392.367919921875;13748.194091796875
2016-12-08T14:33:10.000Z;null;null
2016-12-08T14:33:20.000Z;null;null
2016-12-08T14:33:30.000Z;null;null
2016-12-08T14:33:40.000Z;null;null
2016-12-08T14:33:50.000Z;null;null
2016-12-08T14:34:00.000Z;80434.37109375;93814.921875
2016-12-08T14:34:10.000Z;null;null
2016-12-08T14:34:20.000Z;null;null
2016-12-08T14:34:30.000Z;null;null
2016-12-08T14:34:40.000Z;null;null
2016-12-08T14:34:50.000Z;null;null
2016-12-08T14:35:00.000Z;65068.62890625;72120.033203125
2016-12-08T14:35:10.000Z;null;null
2016-12-08T14:35:20.000Z;null;null
2016-12-08T14:35:30.000Z;null;null
2016-12-08T14:35:40.000Z;null;null
2016-12-08T14:35:50.000Z;null;null
2016-12-08T14:36:00.000Z;36262.624755859375;14512.500244140625
2016-12-08T14:36:10.000Z;null;null
2016-12-08T14:36:20.000Z;null;null
2016-12-08T14:36:30.000Z;null;null
2016-12-08T14:36:40.000Z;null;null
2016-12-08T14:36:50.000Z;null;null
