Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 07:00:00,08/06/16 08:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 07:00:00,08/06/16 08:00:00,760
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 07:00:00,08/06/16 08:00:00,1
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 07:00:00,08/06/16 08:00:00,455345
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 07:00:00,08/06/16 08:00:00,228
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 07:00:00,08/06/16 08:00:00,2063
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 07:00:00,08/06/16 08:00:00,107374182400
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 07:00:00,08/06/16 08:00:00,760
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 07:00:00,08/06/16 08:00:00,5272936
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 08:00:00,08/06/16 09:00:00,5217475
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 08:00:00,08/06/16 09:00:00,760
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 08:00:00,08/06/16 09:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 08:00:00,08/06/16 09:00:00,760
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 08:00:00,08/06/16 09:00:00,2155
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 08:00:00,08/06/16 09:00:00,304
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 08:00:00,08/06/16 09:00:00,460850
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 08:00:00,08/06/16 09:00:00,107374182400
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 08:00:00,08/06/16 09:00:00,1
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 09:00:00,08/06/16 10:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 09:00:00,08/06/16 10:00:00,836
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 09:00:00,08/06/16 10:00:00,107374182400
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 09:00:00,08/06/16 10:00:00,2042
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 09:00:00,08/06/16 10:00:00,1
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 09:00:00,08/06/16 10:00:00,444923
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 09:00:00,08/06/16 10:00:00,304
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 09:00:00,08/06/16 10:00:00,836
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 09:00:00,08/06/16 10:00:00,5189209
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 10:00:00,08/06/16 11:00:00,453241
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 10:00:00,08/06/16 11:00:00,760
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 10:00:00,08/06/16 11:00:00,228
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 10:00:00,08/06/16 11:00:00,2046
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 10:00:00,08/06/16 11:00:00,760
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 10:00:00,08/06/16 11:00:00,228
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 10:00:00,08/06/16 11:00:00,107374182400
